Unnamed: 0,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
160393,FUTIDX,BANKNIFTY,29-Aug-2019,0.0,XX,28805.65,28924.0,28140.55,28499.3,28499.3,214569.0,1225914.96,1675780.0,234640.0,01-AUG-2019
160394,FUTIDX,BANKNIFTY,26-Sep-2019,0.0,XX,28926.4,29030.55,28251.7,28611.45,28611.45,2484.0,14245.95,51400.0,-80.0,01-AUG-2019
160395,FUTIDX,BANKNIFTY,31-Oct-2019,0.0,XX,29000.0,29105.0,28355.55,28699.05,28699.05,598.0,3434.43,9460.0,4860.0,01-AUG-2019
160396,FUTIDX,NIFTY,29-Aug-2019,0.0,XX,11098.4,11098.4,10901.1,11015.35,11015.35,199881.0,1650955.24,19001400.0,1339200.0,01-AUG-2019
160397,FUTIDX,NIFTY,26-Sep-2019,0.0,XX,11136.35,11145.2,10955.0,11066.6,11066.6,5283.0,43841.57,893625.0,66750.0,01-AUG-2019
160398,FUTIDX,NIFTY,31-Oct-2019,0.0,XX,11175.0,11185.95,10991.45,11101.6,11101.6,1530.0,12746.44,115725.0,47775.0,01-AUG-2019
160399,FUTIDX,NIFTYIT,29-Aug-2019,0.0,XX,15670.0,15670.0,15350.0,15423.0,15423.0,159.0,1230.09,13850.0,0.0,01-AUG-2019
160400,FUTIDX,NIFTYIT,26-Sep-2019,0.0,XX,15539.0,15545.0,15539.0,15542.0,15542.0,2.0,15.54,100.0,100.0,01-AUG-2019
160401,FUTIDX,NIFTYIT,31-Oct-2019,0.0,XX,0.0,0.0,0.0,15754.0,15585.0,0.0,0.0,0.0,0.0,01-AUG-2019
160402,FUTSTK,ACC,29-Aug-2019,0.0,XX,1547.1,1555.4,1506.4,1522.65,1522.65,3536.0,21691.65,2292000.0,63200.0,01-AUG-2019
160403,FUTSTK,ACC,26-Sep-2019,0.0,XX,1558.7,1558.7,1518.65,1528.0,1528.0,20.0,123.28,10800.0,3600.0,01-AUG-2019
160404,FUTSTK,ACC,31-Oct-2019,0.0,XX,0.0,0.0,0.0,1613.85,1540.3,0.0,0.0,0.0,0.0,01-AUG-2019
160405,FUTSTK,ADANIENT,29-Aug-2019,0.0,XX,127.15,129.25,122.95,125.7,125.7,2172.0,10902.58,29472000.0,24000.0,01-AUG-2019
160406,FUTSTK,ADANIENT,26-Sep-2019,0.0,XX,129.1,129.1,123.4,125.8,125.8,23.0,115.1,224000.0,0.0,01-AUG-2019
160407,FUTSTK,ADANIENT,31-Oct-2019,0.0,XX,129.95,130.0,126.65,126.65,126.65,5.0,25.84,20000.0,20000.0,01-AUG-2019
160408,FUTSTK,ADANIPORTS,29-Aug-2019,0.0,XX,376.0,379.4,368.25,373.25,373.25,2337.0,21794.16,14905000.0,-295000.0,01-AUG-2019
160409,FUTSTK,ADANIPORTS,26-Sep-2019,0.0,XX,379.0,379.35,370.0,374.75,374.75,83.0,779.18,177500.0,50000.0,01-AUG-2019
160410,FUTSTK,ADANIPORTS,31-Oct-2019,0.0,XX,0.0,0.0,0.0,386.35,377.25,0.0,0.0,5000.0,0.0,01-AUG-2019
160411,FUTSTK,ADANIPOWER,29-Aug-2019,0.0,XX,60.65,61.2,58.15,59.5,59.5,1348.0,16039.42,110860000.0,-960000.0,01-AUG-2019
160412,FUTSTK,ADANIPOWER,26-Sep-2019,0.0,XX,58.95,60.35,58.8,59.75,59.75,16.0,189.95,380000.0,40000.0,01-AUG-2019
160413,FUTSTK,ADANIPOWER,31-Oct-2019,0.0,XX,0.0,0.0,0.0,63.25,60.4,0.0,0.0,0.0,0.0,01-AUG-2019
160414,FUTSTK,AMARAJABAT,29-Aug-2019,0.0,XX,662.4,671.55,651.8,660.35,660.35,3321.0,15354.57,1731100.0,132300.0,01-AUG-2019
160415,FUTSTK,AMARAJABAT,26-Sep-2019,0.0,XX,657.0,663.0,647.0,655.45,655.45,62.0,284.2,46900.0,2100.0,01-AUG-2019
160416,FUTSTK,AMARAJABAT,31-Oct-2019,0.0,XX,0.0,0.0,0.0,647.45,676.6,0.0,0.0,0.0,0.0,01-AUG-2019
160417,FUTSTK,AMBUJACEM,29-Aug-2019,0.0,XX,201.5,202.5,195.25,198.0,198.0,2256.0,11252.37,21242500.0,730000.0,01-AUG-2019
160418,FUTSTK,AMBUJACEM,26-Sep-2019,0.0,XX,203.15,203.15,197.8,198.85,198.85,21.0,105.46,115000.0,10000.0,01-AUG-2019
160419,FUTSTK,AMBUJACEM,31-Oct-2019,0.0,XX,0.0,0.0,0.0,217.95,200.05,0.0,0.0,0.0,0.0,01-AUG-2019
160420,FUTSTK,APOLLOHOSP,29-Aug-2019,0.0,XX,1349.85,1380.5,1342.65,1364.2,1364.2,1607.0,10977.34,1263500.0,-8000.0,01-AUG-2019
160421,FUTSTK,APOLLOHOSP,26-Sep-2019,0.0,XX,1355.0,1374.35,1355.0,1364.55,1379.4,18.0,122.95,13500.0,3000.0,01-AUG-2019
160422,FUTSTK,APOLLOHOSP,31-Oct-2019,0.0,XX,1365.4,1380.0,1365.4,1370.0,1388.1,3.0,20.57,2500.0,1000.0,01-AUG-2019
160423,FUTSTK,APOLLOTYRE,29-Aug-2019,0.0,XX,157.0,158.5,152.45,155.0,155.0,2558.0,11916.79,9492000.0,-237000.0,01-AUG-2019
160424,FUTSTK,APOLLOTYRE,26-Sep-2019,0.0,XX,158.0,158.35,153.9,155.05,155.05,36.0,168.89,228000.0,18000.0,01-AUG-2019
160425,FUTSTK,APOLLOTYRE,31-Oct-2019,0.0,XX,0.0,0.0,0.0,164.3,156.7,0.0,0.0,0.0,0.0,01-AUG-2019
160426,FUTSTK,ARVIND,29-Aug-2019,0.0,XX,54.3,57.2,54.3,56.7,56.7,773.0,2588.49,8310000.0,-78000.0,01-AUG-2019
160427,FUTSTK,ARVIND,26-Sep-2019,0.0,XX,55.2,56.75,55.2,56.75,56.75,10.0,33.68,258000.0,30000.0,01-AUG-2019
160428,FUTSTK,ASHOKLEY,29-Aug-2019,0.0,XX,69.85,73.4,67.2,69.25,69.25,13126.0,55080.69,80706000.0,5334000.0,01-AUG-2019
160429,FUTSTK,ASHOKLEY,26-Sep-2019,0.0,XX,70.5,73.55,67.6,69.45,69.45,502.0,2118.51,1788000.0,138000.0,01-AUG-2019
160430,FUTSTK,ASHOKLEY,31-Oct-2019,0.0,XX,71.65,72.9,68.8,69.5,69.5,20.0,84.73,78000.0,24000.0,01-AUG-2019
160431,FUTSTK,ASIANPAINT,29-Aug-2019,0.0,XX,1522.75,1534.0,1502.55,1512.85,1512.85,4885.0,44392.88,6205800.0,-58200.0,01-AUG-2019
160432,FUTSTK,ASIANPAINT,26-Sep-2019,0.0,XX,1525.0,1538.55,1510.0,1517.95,1517.95,81.0,738.23,73800.0,10200.0,01-AUG-2019
160433,FUTSTK,ASIANPAINT,31-Oct-2019,0.0,XX,0.0,0.0,0.0,1533.0,1529.55,0.0,0.0,1800.0,0.0,01-AUG-2019
160434,FUTSTK,AUROPHARMA,29-Aug-2019,0.0,XX,568.6,570.45,544.75,553.25,553.25,6257.0,34783.47,15530000.0,-44000.0,01-AUG-2019
160435,FUTSTK,AUROPHARMA,26-Sep-2019,0.0,XX,569.45,569.45,547.5,556.85,556.85,127.0,710.29,150000.0,2000.0,01-AUG-2019
160436,FUTSTK,AUROPHARMA,31-Oct-2019,0.0,XX,561.85,561.85,556.05,558.45,558.45,3.0,16.76,3000.0,-1000.0,01-AUG-2019
160437,FUTSTK,AXISBANK,29-Aug-2019,0.0,XX,673.8,683.15,666.2,673.25,673.25,18547.0,150035.5,51118800.0,1166400.0,01-AUG-2019
160438,FUTSTK,AXISBANK,26-Sep-2019,0.0,XX,678.15,685.85,670.0,677.15,677.15,283.0,2300.23,454800.0,-19200.0,01-AUG-2019
160439,FUTSTK,AXISBANK,31-Oct-2019,0.0,XX,686.45,686.45,674.0,679.9,679.9,19.0,154.89,21600.0,4800.0,01-AUG-2019
160440,FUTSTK,BAJAJ-AUTO,29-Aug-2019,0.0,XX,2499.8,2564.1,2484.0,2551.9,2551.9,5284.0,33286.19,2168750.0,34000.0,01-AUG-2019
160441,FUTSTK,BAJAJ-AUTO,26-Sep-2019,0.0,XX,2526.55,2571.8,2498.0,2564.45,2564.45,45.0,284.02,24000.0,2500.0,01-AUG-2019
